index,min_x,max_x,min_y,max_y,filename,emotion
0_0,1932.1315,1932.1315,1932.1315,1932.1315,8eda43d87e4ef16a231f97114c20d59660b02b99514db5e06597b1c903e59b05_남_30_분노_상업시설&점포&시장_20201207151501-003-014.jpg,0
0_1,2148.2163,2148.2163,2148.2163,2148.2163,60f9f06dcbf85639b594a076906a68377135895dea575eb480365fc426c7b6a0_여_40_분노_상업시설&점포&시장_20201202185830-003-001.jpg,0
0_2,2306.4756,2306.4756,2306.4756,2306.4756,93be3d09b7faa6b1ca4c6223cf9f3d0cb66ad91faf837f1bcd864e1b30818e0b_여_30_분노_숙박 및 거주공간_20210127132913-010-007.jpg,0
0_3,1885.7229,1885.7229,1885.7229,1885.7229,534cd9fc1f57352eda6275c4e23a2a5781f9f253854a59bf5897a0cd2098d21d_남_20_분노_도심 환경_20210129164110-008-008.jpg,0
0_4,1925.1375,1925.1375,1925.1375,1925.1375,8b8f577b0f7a8fbfc56520b243dcc09ec7567b7db02f4e59b4b50bc0e9645202_여_30_분노_교통&이동수단(엘리베이터 포함)_20210122131510-002-005.jpg,0
0_5,2269.9653,2269.9653,2269.9653,2269.9653,1c7e1984293bbd04a69969ec280517bceaf6307e2311f3827413839b42af8e21_남_20_분노_상업시설&점포&시장_20201207111224-003-015.jpg,0
0_6,1818.4028,1818.4028,1818.4028,1818.4028,8257ac63ecc8c4c934b916caa878517c18f786b90cc4a9b951bf5803921b94bd_남_20_분노_도심 환경_20201204141744-008-002.jpg,0
0_7,1563.1833,1563.1833,1563.1833,1563.1833,090f71a0a0cd220466761f8baefa97a4430089f47b11198d8064e72b11216585_남_30_분노_스포츠 관람 및 레저시설_20201207141624-004-002.jpg,0
0_8,2413.289244,2413.289244,2413.289244,2413.289244,4ba5a79656de74f2303bcad6c2dcfae596eba4a43cd173b99351f64fc9f7f756_여_20_분노_숙박 및 거주공간_20210126144844-010-031.jpg,0
0_9,1753.4827,1753.4827,1753.4827,1753.4827,37a29bebaec2766329afbc04710e11ad7e47d5ea110a384574efd2f3f6a039fb_남_30_분노_실외 자연환경_20201205002404-007-029.jpg,0
0_10,1843.0732,1843.0732,1843.0732,1843.0732,fef632c79b7c11c46e87df1be8319d76e4b75da03f179a22b1968eb171236176_여_20_분노_숙박 및 거주공간_20210119175919-010-057.jpg,0
0_11,2019.3639,2019.3639,2019.3639,2019.3639,38e8f51cc8c20a998ce151704b874340a527858189162eb3614ae62672bcfd0f_남_30_분노_공공시설&종교&의료시설_20201207011408-001-006.jpg,0
0_12,1760.640919,1760.640919,1760.640919,1760.640919,39a833d3fabe63aaf0de32a63cb5cc1673b5cd81704500bdca879ef8faff9183_여_30_분노_도심 환경_20210128161326-008-005.jpg,0
0_13,1939.61847,1939.61847,1939.61847,1939.61847,becadb082b472071a7ec324508ca2c235c15e9adccdc2434b0059de247793844_남_20_분노_교통&이동수단(엘리베이터 포함)_20210118173523-002-009.jpg,0
0_14,2146.4082,2146.4082,2146.4082,2146.4082,5c760c19116e649ef6fc5d783a41142e0b47723ac1c34abbcbe32c1fc2d2a74c_남_20_분노_상업시설&점포&시장_20201206173920-003-028.jpg,0
0_15,538.70593,538.70593,538.70593,538.70593,9f890b68a8e060049f313676f9b22eff05f2f2606de3657714dcb187d5e1f9fd_남_30_분노_공공시설&종교&의료시설_20210127191545-001-007.jpg,0
0_16,1352.341137,1352.341137,1352.341137,1352.341137,7e1ee3309cc5576fd5a85797f9c8736ab12b378427151cc39e6e2b183eb43687_여_30_분노_상업시설&점포&시장_20210203134042-003-015.jpg,0
0_17,2256.428716,2256.428716,2256.428716,2256.428716,de2bb7d6081b6514f941d26c97d67882bd7339d22f3c69c2f6e4bcbdb2d70561_여_30_분노_도심 환경_20201206224518-008-005.jpg,0
0_18,1706.0443,1706.0443,1706.0443,1706.0443,f774eda1b548fc5fadd311c5705d441bdf37c0b863bffe8aace906e644993dca_여_40_분노_숙박 및 거주공간_20201209145903-010-004.jpg,0
0_19,1751.3558,1751.3558,1751.3558,1751.3558,5f5ccc6be5a820d6a59f837823feddfcef0593cea62789f6b4b4557b1b944d89_여_30_분노_실외 자연환경_20210127061653-007-006.jpg,0
0_20,2005.667028,2005.667028,2005.667028,2005.667028,753285483b7ca8a81aeda4cfdd98f4a53389ef8192b9888ec800627688e1f7f2_여_30_분노_도심 환경_20201204225629-008-001.jpg,0
0_21,1379.7144,1379.7144,1379.7144,1379.7144,7a6c297252fd1ba397273c932015ede33e63e6cb3853c4e9330f66daa434d92a_여_20_분노_교통&이동수단(엘리베이터 포함)_20210119170926-002-012.jpg,0
0_22,1351.2,1351.2,1351.2,1351.2,f5da5b94de34a3a4b2579b4e2fe296f47eaf1dd6b6d11f91975b12983d5c181b_여_30_분노_실외 자연환경_20201202173947-007-004.jpg,0
0_23,1612.096,1612.096,1612.096,1612.096,e3935007de4bf8daaf7c580ee8ab896fd10d16537cee1d7b8e722bb541980066_남_30_분노_도심 환경_20201206231659-008-032.jpg,0
0_24,1942.7396,1942.7396,1942.7396,1942.7396,60f9f06dcbf85639b594a076906a68377135895dea575eb480365fc426c7b6a0_여_40_분노_공공시설&종교&의료시설_20201202185804-001-015.jpg,0
0_25,2363.2693,2363.2693,2363.2693,2363.2693,51e0bbe673bff0bcc98356b9b9352410c6bf90657709d8f4e7f44a8dca213bfa_남_30_분노_공공시설&종교&의료시설_20210121214533-001-009.jpg,0
